2024-09-10 20:09:14.631 [info] Starting Python Locator /home/ec2-user/.vscode-server/extensions/ms-python.python-2024.14.0-linux-x64/python-env-tools/bin/pet server
2024-09-10 20:09:14.632 [info] Discovered env: /usr/bin/python
2024-09-10 20:09:14.632 [info] Discovered env: /bin/python
2024-09-10 20:09:14.632 [info] Locator Conda took 56.009698ms
2024-09-10 20:09:14.632 [info] Locator Homebrew took 40.634µs
2024-09-10 20:09:14.633 [info] Locator LinuxGlobal took 134.534103ms
2024-09-10 20:09:14.633 [info] Locator PipEnv took 9.698µs
2024-09-10 20:09:14.633 [info] Locator Poetry took 70.843µs
2024-09-10 20:09:14.633 [info] Locator PyEnv took 154.744µs
2024-09-10 20:09:14.633 [info] Locator Venv took 10.49µs
2024-09-10 20:09:14.633 [info] Locator VirtualEnv took 15.894µs
2024-09-10 20:09:14.633 [info] Locator VirtualEnvWrapper took 18µs
2024-09-10 20:09:14.633 [info] Locator GlobalVirtualEnvs took 68.691µs
2024-09-10 20:09:14.633 [info] Locator Locators took 135.891109ms
2024-09-10 20:09:14.633 [info] Locator Path took 178.285017ms
2024-09-10 20:09:14.634 [info] Locator Workspaces took 8.046µs
2024-09-10 20:09:14.634 [info] Refresh completed in 183ms
